id,timestamp,device_ip,sysName,ifInOctets,ifOutOctets,ifOutDiscards,ifInUcastPkts,ifInDiscards,ifOutUcastPkts,ipInReceives,ipInDelivers,ipOutRequests,ipOutDiscards,ipInDiscards,ipForwDatagrams,ipOutNoRoutes,ipInAddrErrors,label,if_name
158,2025-09-17 17:02:08,192.168.99.2,S1.cisco.local,1642425,1022683,0,11914,0,8819,334,334,319,2,0,0,0,0,0,10001
159,2025-09-17 17:02:08,192.168.99.3,S2.cisco.local,5571272,6566247,0,19099,0,15293,663,663,503,3,0,0,0,0,0,10001
160,2025-09-17 17:02:08,192.168.99.4,S3.cisco.local,5679574,4560272,0,5687,0,6094,341,341,310,1,0,0,0,0,0,10001
161,2025-09-17 17:02:23,192.168.99.1,R1.cisco.local,12213290,11260696,0,37599,0,29786,24893,24856,15778,0,0,12359,37,0,0,2
162,2025-09-17 17:02:23,192.168.99.2,S1.cisco.local,1644975,1025367,0,11935,0,8834,335,335,320,2,0,0,0,0,0,10001
163,2025-09-17 17:02:23,192.168.99.3,S2.cisco.local,5576115,6568445,0,19134,0,15314,664,664,504,3,0,0,0,0,0,10001
164,2025-09-17 17:02:23,192.168.99.4,S3.cisco.local,5680382,4562443,0,5696,0,6104,342,342,311,1,0,0,0,0,0,10001
165,2025-09-17 17:02:38,192.168.99.1,R1.cisco.local,12221357,11266799,0,37668,0,29837,24933,24896,15799,0,0,12388,37,0,0,2
166,2025-09-17 17:02:38,192.168.99.2,S1.cisco.local,1650881,1028537,0,11948,0,8849,336,336,321,2,0,0,0,0,0,10001
167,2025-09-17 17:02:38,192.168.99.3,S2.cisco.local,5581812,6570948,0,19178,0,15339,665,665,505,3,0,0,0,0,0,10001
168,2025-09-17 17:02:38,192.168.99.4,S3.cisco.local,5681357,4564417,0,5707,0,6118,343,343,312,1,0,0,0,0,0,10001
169,2025-09-17 17:02:53,192.168.99.1,R1.cisco.local,12225730,11270399,0,37701,0,29862,24960,24923,15816,0,0,12394,37,0,0,2
170,2025-09-17 17:02:53,192.168.99.2,S1.cisco.local,1652578,1030871,0,11958,0,8860,337,337,322,2,0,0,0,0,0,10001
171,2025-09-17 17:02:53,192.168.99.3,S2.cisco.local,5583378,6572586,0,19197,0,15349,666,666,506,3,0,0,0,0,0,10001
172,2025-09-17 17:02:54,192.168.99.4,S3.cisco.local,5681357,4564929,0,5707,0,6119,344,344,313,1,0,0,0,0,0,10001
173,2025-09-17 17:03:09,192.168.99.1,R1.cisco.local,12231077,11274289,0,37740,0,29891,24991,24954,15836,0,0,12400,37,0,0,2
174,2025-09-17 17:03:09,192.168.99.2,S1.cisco.local,1654874,1033767,0,11976,0,8878,338,338,323,2,0,0,0,0,0,10001
175,2025-09-17 17:03:09,192.168.99.3,S2.cisco.local,5587634,6573956,0,19215,0,15361,667,667,507,3,0,0,0,0,0,10001
176,2025-09-17 17:03:09,192.168.99.4,S3.cisco.local,5681357,4565569,0,5707,0,6121,345,345,314,1,0,0,0,0,0,10001
177,2025-09-17 17:03:24,192.168.99.1,R1.cisco.local,12235858,11278227,0,37778,0,29915,25023,24986,15852,0,0,12406,37,0,0,2
178,2025-09-17 17:03:24,192.168.99.2,S1.cisco.local,1656571,1036101,0,11986,0,8889,339,339,324,2,0,0,0,0,0,10001
179,2025-09-17 17:03:24,192.168.99.3,S2.cisco.local,5589777,6575198,0,19241,0,15372,668,668,508,3,0,0,0,0,0,10001
180,2025-09-17 17:03:24,192.168.99.4,S3.cisco.local,5681357,4566540,0,5707,0,6122,346,346,315,1,0,0,0,0,0,10001
181,2025-09-17 17:03:39,192.168.99.1,R1.cisco.local,12243065,11282349,0,37846,0,29947,25084,25047,15876,0,0,12412,37,0,0,2
182,2025-09-17 17:03:39,192.168.99.2,S1.cisco.local,1660898,1039419,0,12029,0,8906,340,340,325,2,0,0,0,0,0,10001
183,2025-09-17 17:03:39,192.168.99.3,S2.cisco.local,5591574,6576726,0,19263,0,15386,669,669,509,3,0,0,0,0,0,10001
