ifInOctets,ifOutOctets,ifOutDiscards,ifInUcastPkts,ifInDiscards,ifOutUcastPkts,ipInReceives,ipInDelivers,ipOutRequests,ipOutDiscards,ipInDiscards,ipForwDatagrams,ipOutNoRoutes,ipInAddrErrors,label
-0.5960403844963381,-0.5227731385131994,0.0,-0.6059882395329657,0.0,-0.5463251732419367,-0.8867309100135171,-0.9046384578883233,-1.0084524123123986,2.881544141674246,0.0,-0.36004393488505015,-0.3780692893848749,0.0,0
-0.5994102009334157,-0.5286099532373567,0.0,-0.6085207606488007,0.0,-0.5507852107824721,-0.9048521541942911,-0.9236276996012528,-1.0230465195253369,0.16311473884584413,0.0,-0.36004393488505015,-0.3780692893848749,0.0,0
-0.5806740533511086,-0.48347928337608875,0.0,-0.6027826995518502,0.0,-0.5392223655279741,0.4205874201708912,0.46311770064575253,0.10395127271111039,-1.1960999625683568,0.0,-0.3526633971953419,-0.3442236156442802,0.0,0
-0.6076856826636282,-0.5592204642301427,0.0,-0.6072585887898386,0.0,-0.5493126066714551,-0.9051898171293365,-0.923981536403357,-1.0222903481671537,1.5223294402600451,0.0,-0.36004393488505015,-0.3780692893848749,0.0,0
-0.5960368223725123,-0.5227618541264943,0.0,-0.605985386952299,0.0,-0.5463188394608142,-0.8866746328576762,-0.9045794850879726,-1.0083767951765803,2.881544141674246,0.0,-0.36004393488505015,-0.3780692893848749,0.0,0
-0.5994095978850668,-0.5286031963249528,0.0,-0.6085201901326673,0.0,-0.5507825717070044,-0.9047958770384502,-0.9235687268009021,-1.0229709023895186,0.16311473884584413,0.0,-0.36004393488505015,-0.3780692893848749,0.0,0
-0.5806585514611979,-0.4834451215245439,0.0,-0.6027741418098502,0.0,-0.5392060032600738,0.42266967493700497,0.4652996942587289,0.10553923256329541,-1.1960999625683568,0.0,-0.35265926321231933,-0.3442236156442802,0.0,0
-0.6076630033159177,-0.5591862423552643,0.0,-0.607252313112372,0.0,-0.5493004669243033,-0.9051335399734957,-0.9239225636030063,-1.0222147310313352,1.5223294402600451,0.0,-0.36004393488505015,-0.3780692893848749,0.0,0
-0.5960343274077746,-0.522753193616941,0.0,-0.6059832950598102,0.0,-0.5463151447551592,-0.8866183557018353,-0.9045205122876219,-1.0083011780407618,2.881544141674246,0.0,-0.36004393488505015,-0.3780692893848749,0.0,0
-0.5994095978850668,-0.5285943214463511,0.0,-0.6085201901326673,0.0,-0.5507820438919109,-0.9047395998826093,-0.9235097540005514,-1.0228952852537003,0.16311473884584413,0.0,-0.36004393488505015,-0.3780692893848749,0.0,0
